Date,mpa,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,fleet1,fleet2,fleet3,fleet4,fleet5
2000-01,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2040-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040-01,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2060-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060-01,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2080-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
